oid,gid,site_code,site_title,short_name,site_commo,site_type_,site_sub_t,site_stage,target_com,commodity,proj_code,proj_title,confidenti,point_conf,latitude,longitude,web_link,extract_da,location_region
1,11226143,S0000001,Pieces of Eight - Admiral Hill,Pieces of Eight,"Au, Ag",Mine,Openpit,Care and Maintenance,GOLD,PRECIOUS METAL,J00238,Laverton - Barnicoat - Karridale - Merolia / Focus,Public,Public,-28.56509153525137,122.48074457062543,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000001,1788307200000,WA Mainland
2,11226144,S0000002,Albury Heath,Albury Heath,"Au, Ag",Mine,Unspecified,Operating,GOLD,PRECIOUS METAL,J00002,Albury Heath,Public,Public,-26.7873703023154,118.57440662257848,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000002,1788307200000,WA Mainland
3,11226145,S0000005,Aspacia,Aspacia,"Au, Ag",Mine,Openpit,Shut,GOLD,PRECIOUS METAL,J01011,Menzies,Public,Public,-29.690622475500394,121.0126702973222,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000005,1788307200000,WA Mainland
4,11226146,S0000006,Baden Powell,Baden Powell,"Au, Ag",Mine,Openpit,Shut,GOLD,PRECIOUS METAL,J05474,Baden Powell / Horizon,Public,Public,-30.239151294374672,121.22278292298333,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000006,1788307200000,WA Mainland
5,11226147,S0000007,Dingo - Southern Zone,Dingo,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,Public,Public,-33.574906894243604,117.92015283928099,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000007,1788307200000,WA Mainland
6,11226148,S0000008,Jinkas - Central Zone,Jinkas,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,Public,Public,-33.54336989192135,117.90814179884788,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000008,1788307200000,WA Mainland
7,11226149,S0000009,Bamboo Creek Plant,Bamboo Ck Plant,"Au, Ag",Infrastructure,Processing Plant,Operating,GOLD,PRECIOUS METAL,J00008,Bamboo Creek Gold,Public,Public,-20.925279939446682,120.20939550272158,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000009,1788307200000,WA Mainland
8,11226150,S0000010,Bamboo Creek Tailings TSF,TSF,"Au, Ag",Mine,Tailings storage facility,Proposed,GOLD,PRECIOUS METAL,J00008,Bamboo Creek Gold,Public,Public,-20.926690939896613,120.20348750252674,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000010,1788307200000,WA Mainland
9,11226151,S0000011,Prophecy - Perseverance,Prophecy,Au,Mine,Unspecified,Care and Maintenance,GOLD,PRECIOUS METAL,J00008,Bamboo Creek Gold,Public,Public,-20.93069993725046,120.21169950313657,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000011,1788307200000,WA Mainland
10,11226152,S0000012,Baneygo,Baneygo,"Au, Ag",Mine,Openpit,Care and Maintenance,GOLD,PRECIOUS METAL,J00009,Duketon / Regis Resources,Public,Public,-27.96334378018855,122.31249980484606,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000012,1788307200000,WA Mainland
11,11273060,S0000013,Moolart Well - Duketon Group Old,Moolart Well Group,"Au, Ag",Mine,Openpit,Care and Maintenance,GOLD,PRECIOUS METAL,J00009,Duketon / Regis Resources,Public,Public,-27.622835872043808,122.35101680711477,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000013,1788307200000,WA Mainland
